"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","practiceTestResult","view_history","rt","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","url","stimulus","response","task","ball_X","obstacle_groundTruth_x","obstacle_groundTruth_y","stimulus_idx","trial_name","flipped","choice","timeLimit","question_order","comprehensionCheck"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","","","","passed","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","8790","0.0-1.0","","","","passed","[{""page_index"":0,""viewing_time"":8786}]","8787","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","2","9790","0.0-2.0","","","","passed","","","1413","867","true","safari","17.5.0","false","Mac OS","true","60.24","true","true","","","","","","","","","","","","","",""
"","","","","","external-html","3","11898","0.0-3.0","","","","passed","","2079","","","","","","","","","","","","consent.html","","","","","","","","","","","","",""
"true","","","","","fullscreen","4","13398","0.0-4.0","","","","passed","","1197","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","browser-check","5","14407","0.0-5.0","","","","passed","","","1470","924","true","safari","17.5.0","false","Mac OS","true","59.64","true","true","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","15461","0.0-6.0","","","","passed","","1053","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press 'Space' to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press Space to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>"," ","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","18045","0.0-7.0","","","","passed","","2581","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'f' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press f to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","f","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","19094","0.0-8.0","","","","passed","","1046","","","","","","","","","","","","","<p><b>This experiment requires keyboard input.</b></p> 
        <p><b>To ensure your response will be recorded successfully, please press the 'j' key to continue.</b></p>
        <p>If you can't proceed, you won't be able to complete this study.</p>
        <p></p> <!-- Blank line -->
        <p id=""blinking-text"" style=""font-weight; animation: blink 2s infinite;"">Press j to continue</p>
        <style>
            @keyframes blink {
                50% {
                    opacity: 0;
                }
            }
        </style>","j","","","","","","","","","","",""
"","","","","","browser-check","9","20090","0.0-9.0","","","","passed","","","1470","920","true","safari","17.5.0","false","Mac OS","true","60.42","true","true","","","","","","","","","","","","","",""
"","","","","","survey-text","10","24585","0.0-10.0","","","","passed","","4477","","","","","","","","","","","","","","{""prolificID"":""Cora_test""}","","","","","","","","","","",""
"","","","","","instructions","11","87797","0.0-11.0-0.0-0.0","","","","passed","[{""page_index"":0,""viewing_time"":25360},{""page_index"":1,""viewing_time"":19695},{""page_index"":2,""viewing_time"":8776},{""page_index"":3,""viewing_time"":9379}]","63211","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","111579","0.0-11.0-0.0-1.0","","","","passed","","23277","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","113156","0.0-11.0-0.0-2.0-0.0","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","14","114640","0.0-11.0-0.0-2.0-1.0","","","","passed","","1480","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","15","116756","0.0-11.0-0.0-2.0-0.1","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","16","120712","0.0-11.0-0.0-2.0-1.1","","","","passed","","3953","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","html-keyboard-response","17","122273","0.0-11.0-0.0-2.0-0.2","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","18","123486","0.0-11.0-0.0-2.0-1.2","","","","passed","","1210","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","instructions","19","158040","0.0-11.0-0.0-3.0","","","","passed","[{""page_index"":0,""viewing_time"":28434},{""page_index"":1,""viewing_time"":6117}]","34551","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","163761","0.0-11.0-0.0-4.0","","","","passed","","5217","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","21","177273","0.0-11.0-1.0-0.0","","","","passed","","13508","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","22","184285","0.0-11.0-1.0-1.0","","","","passed","","7010","","","","","","","","","","","","","","{""checkBallHitObstacle"":""No.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","23","188754","0.0-11.0-1.0-2.0","","","","passed","","4467","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","24","195283","0.0-11.0-1.0-3.0","","","","passed","","6526","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","25","203564","0.0-11.0-1.0-4.0","","","","passed","","8278","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""At the beginning of each block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","26","211734","0.0-11.0-1.0-5.0","","","","passed","","8168","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","27","229329","0.0-11.0-1.0-6.0","","","","passed","","17584","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]",""
"","","","","","html-button-response","28","232548","0.0-11.0-2.0-0.0","","","","passed","","3206","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed"
"","","","","","instructions","29","243765","0.0-11.1-0.1-0.1","","","","passed","[{""page_index"":0,""viewing_time"":6256},{""page_index"":1,""viewing_time"":1510},{""page_index"":2,""viewing_time"":1972},{""page_index"":3,""viewing_time"":1476}]","11214","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","246392","0.0-11.1-0.1-1.1","","","","passed","","2122","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","247955","0.0-11.1-0.1-2.1-0.3","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","32","249750","0.0-11.1-0.1-2.1-1.3","","","","passed","","1790","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","html-keyboard-response","33","251322","0.0-11.1-0.1-2.1-0.4","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","34","252841","0.0-11.1-0.1-2.1-1.4","","","","passed","","1517","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","35","254955","0.0-11.1-0.1-2.1-0.5","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","36","256322","0.0-11.1-0.1-2.1-1.5","","","","passed","","1363","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","instructions","37","300240","0.0-11.1-0.1-3.1","","","","passed","[{""page_index"":0,""viewing_time"":22075},{""page_index"":1,""viewing_time"":16711},{""page_index"":0,""viewing_time"":4427},{""page_index"":1,""viewing_time"":702}]","43915","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","38","301586","0.0-11.1-0.1-4.1","","","","passed","","843","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","39","304931","0.0-11.1-1.1-0.1","","","","passed","","3343","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","40","313553","0.0-11.1-1.1-1.1","","","","passed","","8619","","","","","","","","","","","","","","{""checkBallHitObstacle"":""No.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","41","316570","0.0-11.1-1.1-2.1","","","","passed","","3014","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","42","320412","0.0-11.1-1.1-3.1","","","","passed","","3839","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","43","325606","0.0-11.1-1.1-4.1","","","","passed","","5183","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","44","328786","0.0-11.1-1.1-5.1","","","","passed","","3169","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","45","331379","0.0-11.1-1.1-6.1","","","","passed","","2583","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]",""
"","","","","","html-button-response","46","332779","0.0-11.1-2.1-0.1","","","","passed","","1390","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed"
"","","","","","instructions","47","341097","0.0-11.2-0.2-0.2","","","","passed","[{""page_index"":0,""viewing_time"":5112},{""page_index"":1,""viewing_time"":555},{""page_index"":2,""viewing_time"":1620},{""page_index"":3,""viewing_time"":1029}]","8316","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","343313","0.0-11.2-0.2-1.2","","","","passed","","1711","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","344888","0.0-11.2-0.2-2.2-0.6","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","50","345521","0.0-11.2-0.2-2.2-1.6","","","","passed","","628","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","51","347071","0.0-11.2-0.2-2.2-0.7","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","52","347390","0.0-11.2-0.2-2.2-1.7","","","","passed","","316","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","html-keyboard-response","53","349505","0.0-11.2-0.2-2.2-0.8","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","54","350312","0.0-11.2-0.2-2.2-1.8","","","","passed","","799","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","instructions","55","353085","0.0-11.2-0.2-3.2","","","","passed","[{""page_index"":0,""viewing_time"":1345},{""page_index"":1,""viewing_time"":1426}]","2772","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","56","354480","0.0-11.2-0.2-4.2","","","","passed","","892","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","57","356491","0.0-11.2-1.2-0.2","","","","passed","","2009","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","58","358864","0.0-11.2-1.2-1.2","","","","passed","","2370","","","","","","","","","","","","","","{""checkBallHitObstacle"":""Yes.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","59","360837","0.0-11.2-1.2-2.2","","","","passed","","1961","","","","","","","","","","","","","","{""checkTriangleVisibility"":""No, the triangle is hidden behind the gray screen.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","60","362835","0.0-11.2-1.2-3.2","","","","passed","","1989","","","","","","","","","","","","","","{""checkTimedResponse"":""Your response will not be recorded, and the trial will move to the next one.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","61","365819","0.0-11.2-1.2-4.2","","","","passed","","2973","","","","","","","","","","","","","","{""checkTimeBlockNotice"":""Before every individual trial.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","62","368306","0.0-11.2-1.2-5.2","","","","passed","","2477","","","","","","","","","","","","","","{""checkTimeBlockSameness"":""Yes, the time limit is the same for all trials within a block.""}","","","","","","","","","","[0]",""
"","","","","","survey-multi-choice","63","370768","0.0-11.2-1.2-6.2","","","","passed","","2452","","","","","","","","","","","","","","{""checkTrianglePrecision"":""No. The proposed purple triangle is not in the correct position because it doesn't match the location of the white triangle exactly.""}","","","","","","","","","","[0]",""
"","","","","","html-button-response","64","372651","0.0-11.2-2.2-0.2","","","","passed","","1872","","","","","","","","","","","","","<p>Oops! You did not pass the quiz.</p><p>You will now repeat the instructions and practice.</p>","0","","","","","","","","","","","failed"
"","","","","","instructions","65","379623","0.0-11.3-0.3-0.3","","","","passed","[{""page_index"":0,""viewing_time"":1733},{""page_index"":1,""viewing_time"":735},{""page_index"":2,""viewing_time"":3140},{""page_index"":3,""viewing_time"":1361}]","6970","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","382031","0.0-11.3-0.3-1.3","","","","passed","","1904","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","384138","0.0-11.3-0.3-2.3-0.9","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","68","386265","0.0-11.3-0.3-2.3-1.9","","","","passed","","2124","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","html-keyboard-response","69","387838","0.0-11.3-0.3-2.3-0.10","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","70","389150","0.0-11.3-0.3-2.3-1.10","","","","passed","","1308","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","71","390704","0.0-11.3-0.3-2.3-0.11","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","72","394396","0.0-11.3-0.3-2.3-1.11","","","","passed","","3689","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","instructions","73","401224","0.0-11.3-0.3-3.3","","","","passed","[{""page_index"":0,""viewing_time"":5399},{""page_index"":1,""viewing_time"":1427}]","6826","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","74","402611","0.0-11.3-0.3-4.3","","","","passed","","885","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","0","","","","","","","","","","",""
"","","","","","instructions","75","411891","0.0-11.3-0.4-0.4","","","","passed","[{""page_index"":0,""viewing_time"":3774},{""page_index"":1,""viewing_time"":2526},{""page_index"":2,""viewing_time"":1485},{""page_index"":3,""viewing_time"":1493}]","9278","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","76","414207","0.0-11.3-0.4-1.4","","","","passed","","1812","","","","","","","","","","","","","<br>Remember! After a ball falls, the screen will disappear, and you'll decide if the proposed position is where the hidden triangle was. <br>You will now practice this by watching a few videos and making decisions.<p>To respond:<br style=""margin-bottom: 5px; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: #12AD2B;"">J for Yes</b>, if you think the triangle is in the correct position.<br style=""margin-top: 0; text-indent: -20px; padding-left: 20px;"">- Press <b style=""color: orange;"">F for No</b>, if you think the triangle is not in the correct position.</p><p>In this practice round, there is no time limit. Focus on getting comfortable with the task first.<br>Press either J or F to begin your practice trials.</p><img src = ""YesOrNo_instruction.png"" style=""width: 65%;""></img>","j","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","415788","0.0-11.3-0.4-2.4-0.12","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","441","414","302","5","fallScene","true","","","",""
"","","","","","html-keyboard-response","78","416426","0.0-11.3-0.4-2.4-1.12","","","","passed","","634","","","","","","","","","","","","","","j","yesOrNo_prac_noTimed","","","","5","","","close gt","NA","",""
"","","","","","html-keyboard-response","79","417987","0.0-11.3-0.4-2.4-0.13","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","416","464","296","1","fallScene","false","","","",""
"","","","","","html-keyboard-response","80","418843","0.0-11.3-0.4-2.4-1.13","","","","passed","","852","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","1","","","gt","NA","",""
"","","","","","html-keyboard-response","81","420954","0.0-11.3-0.4-2.4-0.14","","","","passed","","","","","","","","","","","","","","","","","ballFalling_prac","660","666","350","3","fallScene","false","","","",""
"","","","","","html-keyboard-response","82","422623","0.0-11.3-0.4-2.4-1.14","","","","passed","","1666","","","","","","","","","","","","","","f","yesOrNo_prac_noTimed","","","","3","","","wrong direction","NA","",""
"","","","","","instructions","83","428439","0.0-11.3-0.4-3.4","","","","passed","[{""page_index"":0,""viewing_time"":4610},{""page_index"":1,""viewing_time"":1204}]","5814","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","84","430039","0.0-11.3-0.4-4.4","","","","passed","","1098","","","","","","","","","","","","","<p>To make sure you understood the task, we just have a <b>brief quiz</b> here.</p><p>If you need to review the instructions, click 'Previous'.</p><p>It's important to understand the task to do the study, so you have to pass the quiz to move to the study.</p>","1","","","","","","","","","","",""
"","","","","","survey-multi-choice","85","436224","0.0-11.3-1.3-0.3","","","","passed","","6182","","","","","","","","","","","","","","{""generalProcedure"":""Watch a video of a ball falling, some of it behind a gray screen. After each video, decide if the triangle is at the spot where the ball hit the triangle behind the screen. There is time limit for the response.""}","","","","","","","","","","[0]",""
